ID,Brand,Name,Price,Car_Type,Car_Category,Seats,Boot_Capacity,Boot_Category,Fuel_Capacity,Fuel_Category,Engine_Type,Total_Displacement_CC,Image,Info,Road_tax
1,Perodua,Axia AV,49500,Hatchback,1,5,265,1,36,1,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,images/CarSpec/Axia/Axia-AV.png,https://www.perodua.com.my/our-models/hatchback/axia.html,20
2,Perodua,Axia SE,44000,Hatchback,1,5,265,1,36,1,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,images/CarSpec/Axia/Axia-SE.png,https://www.perodua.com.my/our-models/hatchback/axia.html,20
3,Perodua,Axia X,40000,Hatchback,1,5,265,1,36,1,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,images/CarSpec/Axia/Axia-X.png,https://www.perodua.com.my/our-models/hatchback/axia.html,20
4,Perodua,Axia G,38600,Hatchback,1,5,265,1,36,1,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,images/CarSpec/Axia/Axia-G.png,https://www.perodua.com.my/our-models/hatchback/axia.html,20
5,Perodua,Axia E,22000,Hatchback,1,5,260,1,33,1,"1KR-VE, DOHC, 12V, Electronic Fuel Injection (EFi) with VVT-i",998,images/CarSpec/Axia/Axia-E.png,https://www.perodua.com.my/our-models/hatchback/axia.html,20
6,Perodua,Bezza AV,49980,Sedan,2,5,508,3,36,1,1NR-VE,1329,images/CarSpec/Bezza/Bezza-AV.png,https://www.perodua.com.my/our-models/sedan/bezza.html,70
7,Perodua,Bezza X,43980,Sedan,2,5,508,3,36,1,1NR-VE,1329,images/CarSpec/Bezza/Bezza-X.png,https://www.perodua.com.my/our-models/sedan/bezza.html,70
8,Perodua,Bezza G,36580,Sedan,2,5,508,3,36,1,1KR-VE,998,images/CarSpec/Bezza/Bezza-G.png,https://www.perodua.com.my/our-models/sedan/bezza.html,20
9,Perodua,Bezza G (Manual),34580,Sedan,2,5,508,3,36,1,1KR-VE,998,images/CarSpec/Bezza/Bezza-G.png,https://www.perodua.com.my/our-models/sedan/bezza.html,20
10,Perodua,Myvi AV,59900,Hatchback,1,5,277,1,36,1,"2NR-VE, DOHC with DUAL VVT-i",1496,images/CarSpec/Myvi/Myvi-AV.png,https://www.perodua.com.my/our-models/hatchback/myvi.html,90
11,Perodua,Myvi H,54900,Hatchback,1,5,277,1,36,1,"2NR-VE, DOHC with DUAL VVT-i",1496,images/CarSpec/Myvi/Myvi-H.png,https://www.perodua.com.my/our-models/hatchback/myvi.html,90
12,Perodua,Myvi X,50900,Hatchback,1,5,277,1,36,1,"2NR-VE, DOHC with DUAL VVT-i",1496,images/CarSpec/Myvi/Myvi-X.png,https://www.perodua.com.my/our-models/hatchback/myvi.html,90
13,Perodua,Myvi G,48500,Hatchback,1,5,277,1,36,1,"1NR-VE, DOHC with DUAL VVT-i",1329,images/CarSpec/Myvi/Myvi-G.png,https://www.perodua.com.my/our-models/hatchback/myvi.html,70
14,Perodua,Myvi G (Without PSDA),46500,Hatchback,1,5,277,1,36,1,"1NR-VE, DOHC with DUAL VVT-i",1329,images/CarSpec/Myvi/Myvi-G (without PSDA).png,https://www.perodua.com.my/our-models/hatchback/myvi.html,70
15,Perodua,Ativa TURBO AV (2-Tone Special Metallic Black Roof),73400,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-AV (2-Tone).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
16,Perodua,Ativa TURBO AV (Special Metallic),73100,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-AV (Special).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
17,Perodua,Ativa TURBO AV (Metallic),72600,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-AV (Metallic).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
18,Perodua,Ativa TURBO H (Special Metallic),67800,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-H (Special).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
19,Perodua,Ativa TURBO H (Metallic),67300,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-H (Metallic).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
20,Perodua,Ativa TURBO X (Metallic),62500,SUV,3,5,303,2,36,1,1KR-VE TURBO,998,images/CarSpec/Ativa/Ativa-TURBO-X (Metallic).png,https://www.perodua.com.my/our-models/suv/ativa.html,20
21,Perodua,Alza AV,75500,MPV,4,7,498,2,43,2,"2NR-VE, 4 Cylinders, DOHC EFI with DUAL VVT-i",1496,images/CarSpec/Alza/Alza-AV.png,https://www.perodua.com.my/our-models/mpv/new-alza.html,90
22,Perodua,Alza H,68000,MPV,4,7,498,2,43,2,"2NR-VE, 4 Cylinders, DOHC EFI with DUAL VVT-i",1496,images/CarSpec/Alza/Alza-H.png,https://www.perodua.com.my/our-models/mpv/new-alza.html,90
23,Perodua,Alza X,62500,MPV,4,7,498,2,43,2,"2NR-VE, 4 Cylinders, DOHC EFI with DUAL VVT-i",1496,images/CarSpec/Alza/Alza-X.png,https://www.perodua.com.my/our-models/mpv/new-alza.html,90
24,Perodua,Aruz AV,77900,SUV,3,7,514,3,45,2,"2NR-VE, 4 cylinders, DOHC with DUAL VVT-i",1496,images/CarSpec/Aruz/Aruz-AV.png,https://www.perodua.com.my/our-models/suv/aruz.html,90
25,Perodua,Aruz X,72900,SUV,3,7,514,3,45,2,"2 NR-VE, 4 cylinders, DOHC with DUAL VVT-i",1496,images/CarSpec/Aruz/Aruz-X.png,https://www.perodua.com.my/our-models/suv/aruz.html,90
26,Proton,Saga Standard MT,34800,Sedan,2,5,420,2,40,2,"4 Cylinders In-Line, 16 Valve DOHC, VVT",1332,images/CarSpec/Saga/Saga-SMT.png,https://www.proton.com/en/models/saga,70
27,Proton,Saga Standard AT,38800,Sedan,2,5,420,2,40,2,"4 Cylinders In-Line, 16 Valve DOHC, VVT",1332,images/CarSpec/Saga/Saga-SAT.png,https://www.proton.com/en/models/saga,70
28,Proton,Saga Premium AT,41800,Sedan,2,5,420,2,40,2,"4 Cylinders In-Line, 16 Valve DOHC, VVT",1332,images/CarSpec/Saga/Saga-PAT.png,https://www.proton.com/en/models/saga,70
